scientific_name,name_correction,generic_species
Larus fuscus graellsii,,
Larus fuscus taimyrensis,,
Larus glaucescens,,
Larus glaucescens x hyperboreus,Larus glaucescens,
Larus glaucoides,,
Larus glaucoides kumlieni,,
Larus heermanni,,
Larus hyperboreus,,
Larus hyperboreus x marinus,Larus hyperboreus,
Larus livens,,
Larus marinus,,
Larus michahellis,,
Larus occidentalis,,
Larus occidentalis x glaucescens,Larus occidentalis,
Larus occidentalis/glaucescens,Larus occidentalis,
Larus schistisagus,,
Larus sp.,Larus argentatus,1
Larus sp. (white-winged gull sp.),Larus argentatus,1
Larus thayeri,,
Larus thayeri x glaucoides,Larus thayeri,
Larus thayeri/glaucoides,Larus thayeri,
Laterallus jamaicensis,,
Leiothrix lutea,,
Leptotila verreauxi,,
Leucophaeus atricilla,,
Leucophaeus atricilla x Larus delawarensis,Leucophaeus atricilla,
Leucophaeus atricilla/pipixcan,Leucophaeus atricilla,
Leucophaeus pipixcan,,
Leucosticte atrata,,
Leucosticte australis,,
Leucosticte sp.,Leucophaeus atricilla,1
Leucosticte tephrocotis,,
Leucosticte tephrocotis littoralis,,
Limnodromus griseus,,
Limnodromus griseus/scolopaceus,Limnodromus griseus,
Limnodromus scolopaceus,,
Limnothlypis swainsonii,,
Limosa fedoa,,
Limosa haemastica,,
Limosa lapponica,,
Limosa limosa,,
Lonchura atricapilla,,
Lonchura malacca,,
Lonchura oryzivora,,
Lonchura punctulata,,
Lophodytes cucullatus,,
Lophura leucomelanos,,
Loxia curvirostra,,
Loxia curvirostra (type 1),Loxia curvirostra,
Loxia curvirostra (type 10),Loxia curvirostra,
Loxia curvirostra (type 2),Loxia curvirostra,
Loxia curvirostra (type 3),Loxia curvirostra,
Loxia curvirostra (type 4),Loxia curvirostra,
Loxia curvirostra (type 5),Loxia curvirostra,
Loxia curvirostra (type 6),Loxia curvirostra,
Loxia leucoptera,,
Loxia sp.,Loxia curvirostra,1
Loxops caeruleirostris,,
Loxops coccineus,,
Loxops mana,,
Lymnocryptes minimus,,
Magumma parva,,
Megaceryle alcyon,,
Megaceryle torquata,,
Megascops asio,,
Megascops kennicottii,,
Megascops sp.,Megascops asio,1
Megascops trichopsis,,
Melanerpes aurifrons,,
Melanerpes carolinus,,
Melanerpes erythrocephalus,,
Melanerpes formicivorus,,
Melanerpes lewis,,
Melanerpes sp.,Melanerpes carolinus,1
Melanerpes uropygialis,,
Melanitta americana,,
Melanitta fusca,,
Melanitta fusca deglandi,,
Melanitta nigra/americana,Melanitta nigra,
Melanitta perspicillata,,
Melanitta perspicillata/americana,Melanitta perspicillata,
Melanitta sp.,Melanitta perspicillata,1
Melanotis caerulescens,,
Meleagris gallopavo,,
Meleagris gallopavo (Domestic type),Meleagris gallopavo,
Melopsittacus undulatus,,
Melopsittacus undulatus (Domestic type),Melopsittacus undulatus,
Melospiza georgiana,,
Melospiza lincolnii,,
Melospiza melodia,,
Melospiza melodia [fallax Group],Melospiza melodia,
Melospiza melodia [heermanni Group],Melospiza melodia,
Melospiza melodia melodia/atlantica,Melospiza melodia,
Melozone aberti,,
Melozone crissalis,,
Melozone fusca,,
Melozone/Pipilo sp.,Melozone crissalis,1
Mergellus albellus,,
Mergellus/Lophodytes/Mergus sp.,Mergus merganser,1
Mergus merganser,,
Mergus merganser americanus,,
Mergus merganser/serrator,Mergus merganser,
Mergus serrator,,
Micrathene whitneyi,,
Milvago chimachima,,
Mimidae sp.,Mimus polyglottos,1
Mimus polyglottos,,
Mitrephanes phaeocercus,,
Mniotilta varia,,
Molothrus aeneus,,
Molothrus aeneus/ater,Molothrus aeneus,
Molothrus ater,,
Molothrus bonariensis,,
Morus bassanus,,
Motacilla alba,,
Motacilla alba lugens,,
Motacilla citreola,,
Myadestes obscurus,,
Myadestes palmeri,,
Myadestes townsendi,,
Mycteria americana,,
Myiarchus cinerascens,,
Myiarchus crinitus,,
Myiarchus nuttingi,,
Myiarchus sagrae,,
